,A,B,C,D,E,F,G,H
5.0,6811499,6790212,6888363,5140711,4638330,6711804,9606480,6233066
9.0,6951473,6931496,6674376,5242109,4736795,6849249,9803820,6359346
13.0,7089171,7068204,6969348,5277305,4831489,6985011,9997260,6489070
