,A,B,C,D,E,F,G,H,J,K,M
6.0,5420079,4323384,5372030,3919095,4035220,4034880,3822104,5249930,3384225,5081778,4312344
16.0,5922882,4498317,5628440,4097595,4234188,4235760,4043124,5535940,3486210,5664327,4450524
23.0,6257290,4862133,5808260,4616520,4398842,4454190,4286503,5698740,3560310,6075045,4500720
