,A1,A2,A3,A5,A6,A7,A8,A9,B1,B2,B3,B5,B6,B7,B8
5.0,577,437,303,231,230,290,434,330,430,303,308,316,325,238,393
12.0,577,437,303,231,230,290,434,330,430,303,308,316,325,238,393
21.0,577,437,303,231,230,290,434,330,430,303,308,316,325,238,393
