,subjFloor,floorLv,unitNo,price,npsf,nfa
20.0/F低層A,20.0,低層,A,7454500,14909,500
66.0/F中層A,66.0,中層,A,,,
102.0/F高層A,102.0,高層,A,,,
20.0/F低層B,20.0,低層,B,4258014,17309,246
66.0/F中層B,66.0,中層,B,,,
102.0/F高層B,102.0,高層,B,,,
20.0/F低層C,20.0,低層,C,5539943,16439,337
66.0/F中層C,66.0,中層,C,,,
102.0/F高層C,102.0,高層,C,,,
20.0/F低層D,20.0,低層,D,7381022,14674,503
66.0/F中層D,66.0,中層,D,,,
102.0/F高層D,102.0,高層,D,,,
20.0/F低層E,20.0,低層,E,7501032,15498,484
66.0/F中層E,66.0,中層,E,,,
102.0/F高層E,102.0,高層,E,,,
20.0/F低層F,20.0,低層,F,8656996,13918,622
66.0/F中層F,66.0,中層,F,,,
102.0/F高層F,102.0,高層,F,,,
20.0/F低層G,20.0,低層,G,7727906,16033,482
66.0/F中層G,66.0,中層,G,,,
102.0/F高層G,102.0,高層,G,,,
20.0/F低層H,20.0,低層,H,7431931,15451,481
66.0/F中層H,66.0,中層,H,,,
102.0/F高層H,102.0,高層,H,,,
20.0/F低層J,20.0,低層,J,8448744,14152,597
66.0/F中層J,66.0,中層,J,,,
102.0/F高層J,102.0,高層,J,,,
20.0/F低層K,20.0,低層,K,6132885,16895,363
66.0/F中層K,66.0,中層,K,,,
102.0/F高層K,102.0,高層,K,,,
