,A,B,C,D,E,F,FG,G
14.0,15865,15223,18933,19634,19580,15141,18741,16026
28.0,17216,16671,20497,21123,20434,16325,20447,16889
42.0,18426,16638,21775,21312,20588,17417,22003,18191
