,A,B,C,D,E,F,G,H,J,K,M
6.0,14301,15496,14519,15369,15170,14944,14872,14189,17355,13338,15292
16.0,15669,16123,15212,16069,15918,15688,15732,14962,17878,14867,15782
23.0,16510,17427,15698,18104,16537,16497,16679,15402,18258,15945,15960
