,A,B,C,D,E,F,G,H,J
2.0,16070,15686,15117,14027,13915,15590,16476,15228,16466
5.0,16471,16115,15541,14424,14310,16007,17307,15638,16619
7.0,17029,16459,16356,14656,14590,17115,17521,16797,16926
