,A1,A2,A3,B2,C1,C3,D1,D3,E3,F3,F4,G1
2.0,3205780,2521661,3003182,2585865,2585865,2324322,2563755,2414610,2339469,2406888,2411046,2497280
3.0,3220910,2583677,2969484,2598260,2598260,2294622,2555380,2425896,2372733,2418174,2422926,2509120
4.0,3235595,2545563,3031196,2610320,2438465,2381940,2586870,2437182,2384316,2429460,2434212,2520960
