,A1,A2,A3,A4,B2,B3,C1,C2,C3,D1,D2,D3,D4
3.0,8956,8174,7466,8793,8174,8655,7284,7937,8655,7149,8495,9747,10553
4.0,9000,8214,7508,8838,8214,8699,8214,8066,7601,7156,8539,9795,10605
