,A,B,C,D,E,F,G,H,J,K,L,M,N
6.0,11271,11757,10609,11429,11512,11055,11254,11472,11237,11255,11890,11493,11632
12.0,11331,12111,11226,12195,12145,11381,11618,11738,12012,11809,11644,11886,12031
19.0,12336,12898,11357,12948,12623,12816,12697,12048,12483,12517,12129,12016,13456
