,A,B,C,D,E,F,G,H,J
8.0,14642,15767,15558,15790,15720,15571,15073,16188,14681
18.0,15181,16761,15840,17410,17287,16095,15897,16168,15309
28.0,15862,17556,16289,17251,17424,15778,16691,16128,15994
