,A,B,C,D,E,F,G,H
4.0,12310,12561,11288,12188,13326,11438,11317,12788
9.0,13060,12712,12804,12725,13648,12024,11853,13089
14.0,13899,12782,13117,12901,13777,13596,11942,13427
