,A1,A2,A3,A5,A6,A7,A8,A9,B1,B2,B3,B5,B6,B7,B8
5.0,9717834,7429000,4847091,3909444,3953930,4735990,7142772,5754210,7041250,5364918,5389076,4915380,5710900,3783010,5550339
12.0,9932478,7099502,4866786,3975048,4025920,4747880,6890618,5631120,7026630,5368251,5174092,5172604,5935475,3907008,5768847
21.0,10382538,7593312,4976775,3990063,4059960,4855470,7180530,5766090,7322470,5596107,5417412,5248128,5877950,3838226,6019581
