,A,B,D,H,K,M,N,O,P,Q,R
3.0,2196360,2258172,2274048,2278962,2193534,2274048,2196360,2343600,2196360,2284632,2196360
4.0,2207880,2269890,2285766,2290680,2203740,2285766,2207880,2285766,2207880,2297862,2238480
