,A,AB,B,C,D,E,F,G,H,J,K,L,M
4.0,430,830,400,400,400,400,430,430,400,400,400,400,430
10.0,430,830,400,400,400,400,430,430,400,400,400,400,430
17.0,430,830,325,325,325,325,430,430,325,325,325,325,430
