,A,B,C,D,E,F,G,H,J
3.0,5196303,5196804,5477223,5198628,5290322,5079879,4279226,4156221,4929455
8.0,5404014,5319601,5461821,5418333,5251866,5215266,4389762,4273497,4636323
13.0,5542047,5563447,5707347,5568276,5559951,5413275,4543771,4434246,5100208
