,1,2,3,4,5,6,7,8
4.0,13092,12374,12374,13141,13153,12226,12226,12996
10.0,13496,12759,12759,13585,13567,12607,12607,13391
17.0,13962,13220,13220,14078,14075,13064,13064,13857
