,A,B,C,D,E,F,G,GH,H
6.0,10161,11019,10699,10724,9948,10575,10085,9858,
14.0,10586,10510,10606,10963,10633,10634,10509,10271,
21.0,10954,11639,11233,11289,11012,11012,11155,10636,
