,A,AB,B,C,CD,D,DG,E,F,G,H
6.0,180,1102,922,949,1145,196,1131,795,858,935,829
16.0,180,1102,922,949,1145,196,1131,795,858,935,829
23.0,180,1102,922,949,1145,196,1131,795,858,935,829
