,A,B,C,D,E,F,G,H,I,J
6.0,9273,11526,11889,12124,12141,9273,9129,11987,12117,12207
16.0,9770,11831,11889,11942,12278,9770,9621,12122,11304,12478
27.0,10278,12176,12437,11921,12164,10278,10126,12716,12041,13079
