,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層A,2.0,低層,A,12443214,12369,1006,150,1,NTP
4.0/F中層A,4.0,中層,A,12557898,12483,1006,126,1,NTP
5.0/F高層A,5.0,高層,A,12616246,12541,1006,125,1,NTP
2.0/F低層B,2.0,低層,B,12291354,12378,993,85,1,NTP
4.0/F中層B,4.0,中層,B,12404556,12492,993,83,1,NTP
5.0/F高層B,5.0,高層,B,12462150,12550,993,82,1,NTP
2.0/F低層C,2.0,低層,C,12267589,12379,991,85,1,NTP
4.0/F中層C,4.0,中層,C,12381554,12494,991,83,1,NTP
5.0/F高層C,5.0,高層,C,12438041,12551,991,82,1,NTP
2.0/F低層D,2.0,低層,D,12443214,12369,1006,86,1,NTP
4.0/F中層D,4.0,中層,D,12557898,12483,1006,84,1,NTP
5.0/F高層D,5.0,高層,D,12616246,12541,1006,83,1,NTP
