,A,B,C,D,E,F,G,H,J
5.0,3855517,4188672,4603280,4461483,3977380,4461483,4541240,4188672,3975232
12.0,4043880,4326528,4752440,4609935,4058646,4430625,4675440,4326528,4055042
18.0,4039774,4320384,4736600,4598676,4175354,4598676,4754200,4320384,4170593
