,A,C,D,E,F,G,H,J,K
5.0,8273,8123,8200,8239,8329,8065,8065,8065,8065
13.0,8547,8399,8505,8519,8615,8337,8337,8337,8337
22.0,8907,8744,8863,8866,8962,8681,8681,8681,8681
