,A,B,C,D,E,F,G,H,I,J
6.0,4941276,5019556,4411880,4462512,4919850,4392804,5138768,5024829,4947371,5070780
16.0,4588620,4592368,4629810,4509384,4766970,4744922,4885482,4978380,5178472,4745520
27.0,5306208,5547624,5276200,5239620,5526690,5207501,5406346,5593730,5403541,5431140
