,A,A & B,AB,B,C,D,D & E,DE,E
3.0,12578,11617,11620,13345,12208,13074,11628,11628,12943
7.0,13148,12278,12281,13961,12634,13077,12290,12290,13505
10.0,13681,12590,12594,14518,13090,13617,13531,12603,14052
