,A,ALBANY HSE 2,ALBANY HSE 3,ALBANY HSE 6,ALBANY HSE 7,ALBANY HSE 8,ALBANY HSE 9,BELGAVIA HSE 6,BELGRAVIA HSE 2,BELGRAVIA HSE 3,BELGRAVIA HSE 6,BELGRAVIA HSE 7,BELGRAVIA HSE 8,OXFORD HE 6,OXFORD HE 8,OXFORD HSE 2,OXFORD HSE 3,OXFORD HSE 6,OXFORD HSE 9,R,REGENT HSE,REGENT HSE 2,REGENT HSE 3,REGENT HSE 6,REGENT HSE 7,REGENT HSE 8,REGENT HSE 9
3.0,11935,11972,11972,11972,11972,11972,11935,11988,11988,11988,11940,12059,11988,12584,12584,12584,12584,12584,12360,12738,12484,12272,12338,12339,12339,12293,12281
6.0,12105,12143,12143,12143,12143,12143,12105,12159,12159,12159,12092,12231,12159,12764,12764,12764,12764,12764,12533,12511,12662,12444,12511,12511,12511,12466,12454
8.0,12224,12262,12262,12262,12262,12262,12224,12279,12278,12279,12229,12350,12279,12884,12884,12884,12884,12884,12658,12636,12789,12568,12636,12637,12637,12575,12578
