,A,AB,B,C,D,E,F,G,H
6.0,,10701066,9160635,8085098,6527028,5906460,7173360,7186036,7990224
16.0,,11238025,9620784,8546580,6628731,6258732,7626492,7539092,8384500
25.0,,11981248,10043293,8918931,6967908,6542616,8186634,8247448,8813132
