,1,13,15,17,19,23,24,6,8
9.0,5238,5434,5602,5190,5288,5245,5245,5263,5245
17.0,5452,5606,5808,5409,5502,5461,5461,5479,5603
26.0,5681,5823,6029,5638,5731,5690,5690,5710,5835
