,12,24,35,5,6,7,9
8.0,2698626,2961756,2996136,2971100,2961756,2971100,2971100
18.0,2838570,3110814,3147144,3120604,3110814,3120604,3120604
27.0,2985276,3254924,3282708,3254924,3516435,3254924,3254924
