,A,ALBANY HSE 2,ALBANY HSE 3,ALBANY HSE 6,ALBANY HSE 7,ALBANY HSE 8,ALBANY HSE 9,BELGAVIA HSE 6,BELGRAVIA HSE 2,BELGRAVIA HSE 3,BELGRAVIA HSE 6,BELGRAVIA HSE 7,BELGRAVIA HSE 8,OXFORD HE 6,OXFORD HE 8,OXFORD HSE 2,OXFORD HSE 3,OXFORD HSE 6,OXFORD HSE 9,R,REGENT HSE,REGENT HSE 2,REGENT HSE 3,REGENT HSE 6,REGENT HSE 7,REGENT HSE 8,REGENT HSE 9
3.0,1629,1558,1558,1558,1558,1558,1629,1527,1528,1527,1527,1527,1527,1010,1010,1010,1010,1010,1086,1039,1116,1128,1039,1038,1038,1038,1116
6.0,1629,1558,1558,1558,1558,1558,1629,1527,1528,1527,1527,1527,1527,1010,1010,1010,1010,1010,1086,1039,1116,1128,1039,1038,1038,1038,1116
8.0,1629,1558,1558,1558,1558,1558,1629,1527,1528,1527,1527,1527,1527,1010,1010,1010,1010,1010,1086,1039,1116,1128,1039,1038,1038,1038,1116
