,A,A & B,AB,B,C,D,D & E,DE,E
3.0,1184,2298,2292,1108,1318,1092,2276,2276,1184
7.0,1184,2298,2292,1108,1318,1092,2276,2276,1184
10.0,1184,2298,2292,1114,1421,1092,1184,2276,1184
