,A,B,C,D,E,F,G,H,I,J
6.0,13283,12937,11924,11996,12615,11652,12944,12657,13123,13002
16.0,12335,11836,12513,12122,12223,12586,12306,12540,13736,12168
27.0,14264,14298,14260,14085,14171,13813,13618,14090,14333,13926
