,A,B,C,D,E,F,G,H,I,J
6.0,5480343,6811866,5564052,5140576,5087079,5480343,5395239,5549981,5161842,5712876
16.0,5774070,6992121,5564052,5063408,5144482,5774070,5686011,5612486,4815504,5839704
27.0,6074298,7196016,5820516,5054504,5096716,6074298,5984466,5887508,5129466,6120972
