,A,B,C,D,E,F,G,H,J
3.0,11783,11892,12091,11476,12106,11519,12698,12333,13655
8.0,12254,12173,12057,11961,12018,11826,13026,12681,12843
13.0,12567,12731,12599,12292,12723,12275,13483,13158,14128
