,A,B,C,D,E,F,G,H,J
4.0,13604,14907,14832,13891,14366,14015,14176,14903,15183
10.0,14421,16241,15827,14387,14552,14885,14746,15809,15725
16.0,15232,16190,15860,14787,14524,15287,15603,16388,16087
