,A,B,C,D,E,F,G,H
8.0,15727,14214,15372,14539,15605,15274,15010,15091
14.0,16125,14598,15714,14977,15829,15943,15445,15163
21.0,16614,15116,15581,15242,15415,16722,16037,15590
