,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E3
2.0,3814455,4171828,4244240,4304376,4171828,3932400,4135170,4171828,4308690,4135170,4171828,3932400,4209880,4110480
3.0,3832440,4191156,4263952,4324408,4191156,3951045,4154306,4191156,3951045,4154306,4191156,3951045,4229812,4130082
4.0,3849880,4210484,4283664,4344440,4210484,3969125,4173442,4210484,3969125,4164472,4210484,3969125,4258804,4149090
