,subjFloor,floorLv,unitNo,price,npsf,nfa
8.0/F低層A,8.0,低層,A,7157572,14974,478
16.0/F中層A,16.0,中層,A,7212064,15088,478
25.0/F高層A,25.0,高層,A,7554312,15804,478
8.0/F低層B,8.0,低層,B,7181772,14538,494
16.0/F中層B,16.0,中層,B,7394686,14969,494
25.0/F高層B,25.0,高層,B,7875842,15943,494
8.0/F低層C,8.0,低層,C,7299344,14776,494
16.0/F中層C,16.0,中層,C,7388758,14957,494
25.0/F高層C,25.0,高層,C,7742956,15674,494
8.0/F低層D,8.0,低層,D,7319614,15313,478
16.0/F中層D,16.0,中層,D,7334432,15344,478
25.0/F高層D,25.0,高層,D,7507946,15707,478
8.0/F低層E,8.0,低層,E,9058900,14425,628
16.0/F中層E,16.0,中層,E,9124840,14530,628
25.0/F高層E,25.0,高層,E,9555648,15216,628
8.0/F低層F,8.0,低層,F,7375420,14930,494
16.0/F中層F,16.0,中層,F,7679230,15545,494
25.0/F高層F,25.0,高層,F,7864974,15921,494
8.0/F低層G,8.0,低層,G,7293416,14764,494
16.0/F中層G,16.0,中層,G,7373938,14927,494
25.0/F高層G,25.0,高層,G,7575490,15335,494
8.0/F低層H,8.0,低層,H,9107752,14411,632
16.0/F中層H,16.0,中層,H,9173480,14515,632
25.0/F高層H,25.0,高層,H,9606400,15200,632
