,CHELSEA HSE 2,CHELSEA HSE 3,CHELSEA HSE 6,CHELSEA HSE 7,CHELSEA HSE 8,DEVON HSE 2,DEVON HSE 3,DEVON HSE 6,DEVON HSE 7,DEVON HSE 8,DEVON HSE 9,SOMERSET HSE 2,SOMERSET HSE 3,SOMERSET HSE 6,SOMERSET HSE 7,SOMERSET HSE 8,SOMERSET HSE 9,TREGUNTER HSE,TREGUNTER HSE 2,TREGUNTER HSE 3,TREGUNTER HSE 6,TREGUNTER HSE 7,TREGUNTER HSE 8
3.0,12637,12637,12637,12637,12637,12637,12637,10446,12637,12637,12611,12845,,,,,12962,12851,12845,,,,
6.0,12812,12812,12812,12812,12812,12812,12812,10593,12812,12812,12786,13023,,,,,13150,13029,13023,,,,
8.0,12928,12928,12928,12928,12928,12928,12928,10691,12928,12928,12902,13142,,,,,13276,13147,13142,,,,
