,10,11,15,19,20,23,5,6
12.0,6219,6226,6245,6226,6043,6171,6001,6226
20.0,6465,6474,6304,6474,6289,6417,6242,6474
30.0,6766,6778,6793,6778,6594,6719,6542,6778
