,A,B,C,D,E,F,G,H,I,J
6.0,9989,10245,10843,10230,10442,11209,9989,10110,10322,10315
17.0,10552,10552,11261,11072,10996,10553,10552,10761,11168,10846
27.0,11013,11013,11767,11315,11410,11047,11013,11198,11258,11287
