,A,A & D,B,C,D,E,F,G,H
2.0,16411,,16242,16390,15496,16442,16307,16166,16026
5.0,17457,,17212,17428,17366,17492,17346,17121,17048
8.0,18225,,18268,18481,18499,18557,18401,18382,18085
