,A,B,B & C,C,D,E,F
3.0,27672750,30148096,55736698,29632600,29292900,31993654,27467616
8.0,29468250,31982214,59334925,31584825,31222386,34067044,29276544
11.0,30582300,33207680,61493399,32790510,32414460,35260093,30395904
