,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,30607918,19118,1601
6.0/F中層A,6.0,中層,A,32191307,20107,1601
10.0/F高層A,10.0,高層,A,34530368,21568,1601
3.0/F低層B,3.0,低層,B,34490343,21543,1601
6.0/F中層B,6.0,中層,B,31864703,19903,1601
10.0/F高層B,10.0,高層,B,32572700,21220,1535
3.0/F低層C,3.0,低層,C,21991300,18716,1175
6.0/F中層C,6.0,中層,C,23149850,19702,1175
10.0/F高層C,10.0,高層,C,24693800,21016,1175
3.0/F低層D,3.0,低層,D,22188700,18884,1175
6.0/F中層D,6.0,中層,D,23357825,19879,1175
10.0/F高層D,10.0,高層,D,24288885,21213,1145
