,A1,A2,A3,B1,B2,B3
3.0,13377520,14712566,15119020,12974290,13465680,13357000
6.0,13868480,15246561,15661750,13378710,14749320,13848720
10.0,14546400,15945171,16368800,14107250,14654320,14524360
