,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7243021.5,27783.8,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10352532.0,27172.0,381.0,7025640.0,27660.0,254.0,6890961.0,27237.0,253.0,7085000.0,28340.0,250.0,6674976.0,26488.0,252.0,7860186.0,27873.0,282.0,8158836.0,28428.0,287.0,5792124.0,27066.0,214.0,6636068.0,27197.0,244.0,5953892.0,30377.0,196.0,,0.009672530979171867,0.009611436337406909
2020-11-15,7173634.3,27519.3,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10261473.0,26933.0,381.0,6964680.0,27420.0,254.0,6830241.0,26997.0,253.0,7021750.0,28087.0,250.0,6616512.0,26256.0,252.0,7734413.999999999,27427.0,282.0,8086799.000000001,28177.0,287.0,5741406.0,26829.0,214.0,6577508.0,26957.0,244.0,5901560.0,30110.0,196.0,,0.027904855463105616,0.028270690177000013
2020-10-15,6978889.4,26762.7,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10004298.0,26258.0,381.0,6766560.0,26640.0,254.0,6634925.0,26225.0,253.0,6820000.0,27280.0,250.0,6427764.0,25507.0,252.0,7608924.0,26982.0,282.0,7855477.000000001,27371.0,287.0,5548806.0,25929.0,214.0,6389140.0,26185.0,244.0,5733000.0,29250.0,196.0,,-0.039381336911110565,-0.03928621428648349
2020-9-15,7264994.6,27857.1,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10453116.0,27436.0,381.0,6801866.0,26779.0,254.0,6932453.0,27401.0,253.0,7125500.0,28502.0,250.0,6715800.0,26650.0,252.0,7949862.0,28191.0,282.0,8207912.999999999,28599.0,287.0,5797688.0,27092.0,214.0,6675596.0,27359.0,244.0,5990152.0,30562.0,196.0,,-0.00550417232034206,-0.005504921228218662
2020-8-15,7305203.7,28011.3,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10510647.0,27587.0,381.0,6839458.0,26927.0,254.0,6970656.0,27552.0,253.0,7165750.0,28663.0,250.0,6752592.0,26796.0,252.0,7993854.0,28347.0,282.0,8253546.0,28758.0,287.0,5829574.0,27241.0,214.0,6712684.0,27511.0,244.0,6023276.0,30731.0,196.0,,-0.02933800864459013,-0.029336854033037874
2020-7-15,7526001.6,28857.9,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10828401.0,28421.0,381.0,7046214.0,27741.0,254.0,7181405.0,28385.0,253.0,7383249.999999999,29533.0,250.0,6956208.0,27604.0,252.0,8234964.0,29202.0,282.0,8503236.0,29628.0,287.0,6005482.0,28063.0,214.0,6915692.0,28343.0,244.0,6205164.0,31659.0,196.0,,0.05392244756869968,0.053923466294637956
2020-6-15,7140944.4,27381.4,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10274427.0,26967.0,381.0,6685534.0,26321.0,254.0,6813796.0,26932.0,253.0,7006250.0,28025.0,250.0,6600132.0,26191.0,252.0,7813374.0,27707.0,282.0,8068430.999999999,28113.0,287.0,5697964.0,26626.0,214.0,6561892.0,26893.0,244.0,5887644.0,30039.0,196.0,,-0.022466244193392604,-0.02246641462012733
2020-5-15,7305061.7,28010.7,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10510266.0,27586.0,381.0,6839204.0,26926.0,254.0,6970403.0,27551.0,253.0,7168250.0,28673.0,250.0,6751332.0,26791.0,252.0,7992725.999999999,28343.0,282.0,8254119.999999999,28760.0,287.0,5828504.0,27236.0,214.0,6712928.0,27512.0,244.0,6022884.0,30729.0,196.0,,-0.005665629913397807,-0.005665541368036542
2020-4-15,7346685.3,28170.3,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10570083.0,27743.0,381.0,6878066.0,27079.0,254.0,7010124.0,27708.0,253.0,7210000.0,28840.0,250.0,6789384.0,26942.0,252.0,8038128.0,28504.0,282.0,8301188.000000001,28924.0,287.0,5861460.0,27390.0,214.0,6751236.0,27669.0,244.0,6057184.0,30904.0,196.0,,0.02692898709013747,0.026928797445282093
2020-3-15,7154034.4,27431.6,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10292715.0,27015.0,381.0,6697726.0,26369.0,254.0,6826193.0,26981.0,253.0,7021750.0,28087.0,250.0,6610968.0,26234.0,252.0,7827192.0,27756.0,282.0,8083642.000000001,28166.0,287.0,5707594.0,26671.0,214.0,6574336.0,26944.0,244.0,5898228.0,30093.0,196.0,,0.01547311557790021,0.015473687327864472
2020-2-15,7045025.9,27013.6,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10135743.0,26603.0,381.0,6595618.0,25967.0,254.0,6722210.0,26570.0,253.0,6915500.0,27662.0,250.0,6509916.0,25833.0,252.0,7707623.999999999,27332.0,282.0,7960805.999999999,27738.0,287.0,5620282.0,26263.0,214.0,6474296.0,26534.0,244.0,5808264.0,29634.0,196.0,,-0.03883673341030791,-0.03883636777666688
