,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2487951.0990024023,3690.0,104 DES VOEUX RD W|104 德輔道西,2487951.0990024023,3690.0,639.0,,,
2020-11-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-10-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-9-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-8-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-7-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-6-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-5-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-4-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-3-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-2-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2020-1-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-12-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-11-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-10-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-9-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-8-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-7-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-6-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2019-5-15,2653128.0,4152.0,104 DES VOEUX RD W|104 德輔道西,2653128.0,4152.0,639.0,,0.047691143073429254,0.047691143073429254
2019-4-15,2532357.0,3963.0,104 DES VOEUX RD W|104 德輔道西,2532357.0,3963.0,639.0,,0.022973670624677256,0.022973670624677256
2019-3-15,2475486.0,3874.0,104 DES VOEUX RD W|104 德輔道西,2475486.0,3874.0,639.0,,0.002847527828112817,0.002847527828112817
2019-2-15,2468457.0,3863.0,104 DES VOEUX RD W|104 德輔道西,2468457.0,3863.0,639.0,,0.04688346883468841,0.04688346883468841
2019-1-15,2357910.0,3690.0,104 DES VOEUX RD W|104 德輔道西,2357910.0,3690.0,639.0,,0.05128205128205132,0.05128205128205132
2018-12-15,2242890.0,3510.0,104 DES VOEUX RD W|104 德輔道西,2242890.0,3510.0,639.0,,-0.1415994130594277,-0.1415994130594277
2018-11-15,2612871.0,4089.0,104 DES VOEUX RD W|104 德輔道西,2612871.0,4089.0,639.0,,-0.06686444545869463,-0.06686444545869463
2018-10-15,2800098.0,4382.0,104 DES VOEUX RD W|104 德輔道西,2800098.0,4382.0,639.0,,0.05387205387205385,0.05387205387205385
2018-9-15,2656962.0,4158.0,104 DES VOEUX RD W|104 德輔道西,2656962.0,4158.0,639.0,,-0.06266907123534715,-0.06266907123534715
2018-8-15,2834604.0,4436.0,104 DES VOEUX RD W|104 德輔道西,2834604.0,4436.0,639.0,,0.041070171321285986,0.041070171321285986
2018-7-15,2722779.0,4261.0,104 DES VOEUX RD W|104 德輔道西,2722779.0,4261.0,639.0,,0.09791290904406091,0.09791290904406091
2018-6-15,2479959.0,3881.0,104 DES VOEUX RD W|104 德輔道西,2479959.0,3881.0,639.0,,-0.011210191082802523,-0.011210191082802523
2018-5-15,2508075.0,3925.0,104 DES VOEUX RD W|104 德輔道西,2508075.0,3925.0,639.0,,-0.040107605771582344,-0.040107605771582344
2018-4-15,2612871.0,4089.0,104 DES VOEUX RD W|104 德輔道西,2612871.0,4089.0,639.0,,0.06290616064465815,0.06290616064465815
2018-3-15,2458233.0,3847.0,104 DES VOEUX RD W|104 德輔道西,2458233.0,3847.0,639.0,,0.015039577836411633,0.015039577836411633
2018-2-15,2421810.0,3790.0,104 DES VOEUX RD W|104 德輔道西,2421810.0,3790.0,639.0,,0.007978723404255428,0.007978723404255428
2018-1-15,2402640.0,3760.0,104 DES VOEUX RD W|104 德輔道西,2402640.0,3760.0,639.0,,0.01897018970189701,0.01897018970189701
2017-12-15,2357910.0,3690.0,104 DES VOEUX RD W|104 德輔道西,2357910.0,3690.0,639.0,,,
2017-11-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-10-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-9-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-8-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-7-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-6-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-5-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-4-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-3-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-2-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2017-1-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-12-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-11-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-10-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-9-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-8-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-7-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-6-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-5-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-4-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-3-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-2-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,,,
2016-1-15,,,104 DES VOEUX RD W|104 德輔道西,,,639.0,639.0,,
