,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_S,npsf_S,nfa_S,lumpSum_change,npsf_change
2019-12-15,7744527.294117647,16596.176470588234,17,131656964.0,282135.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12077070.0,15870.0,761.0,11243241.0,17113.0,657.0,7807059.0,16367.0,477.0,8346749.999999999,17950.0,465.0,6048648.0,16392.0,369.0,8577583.0,15511.0,553.0,8652288.0,16899.0,512.0,7536782.0,14663.0,514.0,7837060.0,14540.0,539.0,6826869.0,18501.0,369.0,8730976.0,18736.0,466.0,4927790.0,17170.0,287.0,6143706.0,16083.0,382.0,7495950.0,16225.0,462.0,6645762.0,17217.0,386.0,8112582.0,15814.0,513.0,4646848.0,17084.0,272.0,-0.014821317196164419,-0.014819522381180339
2019-11-15,7861038.235294118,16845.823529411766,17,133637650.0,286379.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12259710.0,16110.0,761.0,11412747.0,17371.0,657.0,7923446.999999999,16611.0,477.0,8471835.0,18219.0,465.0,6139791.0,16639.0,369.0,8706985.0,15745.0,553.0,8782336.0,17153.0,512.0,7650376.0,14884.0,514.0,7954562.0,14758.0,539.0,6929451.0,18779.0,369.0,8862388.0,19018.0,466.0,5002123.0,17429.0,287.0,6235386.0,16323.0,382.0,7608678.0,16469.0,462.0,6745350.0,17475.0,386.0,8235188.999999999,16053.0,513.0,4717296.0,17343.0,272.0,0.08314132848663647,0.08314422305935043
2019-10-15,7257629.294117647,15552.70588235294,17,123379698.0,264396.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",11319875.0,14875.0,761.0,10536966.0,16038.0,657.0,7313841.0,15333.0,477.0,7821300.0,16820.0,465.0,5668578.0,15362.0,369.0,8038961.0,14537.0,553.0,8108032.0,15836.0,512.0,7062874.0,13741.0,514.0,7343875.0,13625.0,539.0,6397722.0,17338.0,369.0,8182028.0,17558.0,466.0,4618404.0,16092.0,287.0,5756358.0,15069.0,382.0,7024710.0,15205.0,462.0,6226952.0,16132.0,386.0,7603686.0,14822.0,513.0,4355536.0,16013.0,272.0,-0.08899032738391899,-0.08899019030194022
2019-9-15,7966577.647058823,17071.941176470587,17,135431820.0,290223.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12426369.0,16329.0,761.0,11566485.0,17605.0,657.0,8027433.0,16829.0,477.0,8585295.0,18463.0,465.0,6222447.0,16863.0,369.0,8824221.0,15957.0,553.0,8899584.0,17382.0,512.0,7753176.0,15084.0,514.0,8060745.0,14955.0,539.0,7022439.0,19031.0,369.0,8981218.0,19273.0,466.0,5069855.0,17665.0,287.0,6317898.0,16539.0,382.0,7711242.0,16691.0,462.0,6834902.0,17707.0,386.0,8347023.0,16271.0,513.0,4781488.0,17579.0,272.0,-0.00365369398245452,-0.003652754843161632
2019-8-15,7995791.823529412,17134.529411764706,17,135928461.0,291287.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12472790.0,16390.0,761.0,11609190.0,17670.0,657.0,8055576.000000001,16888.0,477.0,8616450.0,18530.0,465.0,6245694.0,16926.0,369.0,8856848.0,16016.0,553.0,8932352.0,17446.0,512.0,7781446.0,15139.0,514.0,8090390.0,15010.0,539.0,7048269.0,19101.0,369.0,9013838.0,19343.0,466.0,5088510.0,17730.0,287.0,6340436.0,16598.0,382.0,7739423.999999999,16752.0,462.0,6859220.0,17770.0,386.0,8378316.0,16332.0,513.0,4799712.0,17646.0,272.0,0.009889255433052968,0.009891344293668558
2019-7-15,7917493.705882353,16966.70588235294,17,134597393.0,288434.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12351791.0,16231.0,761.0,11496186.0,17498.0,657.0,7975439.999999999,16720.0,477.0,8531355.0,18347.0,465.0,6184809.0,16761.0,369.0,8770580.0,15860.0,553.0,8844288.0,17274.0,512.0,7705374.0,14991.0,514.0,8010618.0,14862.0,539.0,6979266.0,18914.0,369.0,8925764.0,19154.0,466.0,5038859.0,17557.0,287.0,6277788.0,16434.0,382.0,7663656.0,16588.0,462.0,6791670.0,17595.0,386.0,8296748.999999999,16173.0,513.0,4753200.0,17475.0,272.0,-0.036513206041282276,-0.03651073609385225
2019-6-15,8217542.529411765,17609.647058823528,17,139698223.0,299364.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12820567.0,16847.0,761.0,11932434.0,18162.0,657.0,8275949.999999999,17350.0,477.0,8854530.0,19042.0,465.0,6419124.0,17396.0,369.0,9103486.0,16462.0,553.0,9179648.0,17929.0,512.0,7997326.0,15559.0,514.0,8314075.0,15425.0,539.0,7243839.0,19631.0,369.0,9264080.0,19880.0,466.0,5230001.0,18223.0,287.0,6515010.0,17055.0,382.0,7954254.0,17217.0,462.0,7048360.0,18260.0,386.0,8611731.0,16787.0,513.0,4933808.0,18139.0,272.0,0.01116468124332548,0.011163315420237074
2019-5-15,8126809.294117647,17415.235294117647,17,138155758.0,296059.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12679782.0,16662.0,761.0,11801034.0,17962.0,657.0,8183412.0,17156.0,477.0,8756415.0,18831.0,465.0,6348645.0,17205.0,369.0,9003393.0,16281.0,553.0,9077760.0,17730.0,512.0,7908918.0,15387.0,514.0,8221906.0,15254.0,539.0,7164135.0,19415.0,369.0,9161560.0,19660.0,466.0,5172601.0,18023.0,287.0,6442430.0,16865.0,382.0,7866474.0,17027.0,462.0,6970002.0,18057.0,386.0,8517339.0,16603.0,513.0,4879952.0,17941.0,272.0,0.0212931221661683,0.021294577868541387
2019-4-15,7957372.0,17052.117647058825,17,135275324.0,289886.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12416476.0,16316.0,761.0,11555316.0,17588.0,657.0,8011215.0,16795.0,477.0,8573670.0,18438.0,465.0,6216543.0,16847.0,369.0,8815926.0,15942.0,553.0,8888320.0,17360.0,512.0,7743924.0,15066.0,514.0,8050504.0,14936.0,539.0,7014690.0,19010.0,369.0,8970500.0,19250.0,466.0,5064976.0,17648.0,287.0,6307584.0,16512.0,382.0,7702463.999999999,16672.0,462.0,6824094.0,17679.0,386.0,8340354.0,16258.0,513.0,4778768.0,17569.0,272.0,-0.01258902726737543,-0.012585964350553924
2019-3-15,8058824.764705882,17269.470588235294,17,137000021.0,293581.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12575525.0,16525.0,761.0,11703141.0,17813.0,657.0,8112339.0,17007.0,477.0,8682480.0,18672.0,465.0,6295878.0,17062.0,369.0,8928738.0,16146.0,553.0,9001472.0,17581.0,512.0,7843126.0,15259.0,514.0,8152914.0,15126.0,539.0,7103988.0,19252.0,369.0,9084670.0,19495.0,466.0,5129551.0,17873.0,287.0,6387422.0,16721.0,382.0,7800408.0,16884.0,462.0,6910558.0,17903.0,386.0,8447571.0,16467.0,513.0,4840240.0,17795.0,272.0,0.020235139588624884,0.020235753654112232
2019-2-15,7898987.647058823,16926.941176470587,17,134282790.0,287758.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12327439.0,16199.0,761.0,11471220.0,17460.0,657.0,7950159.0,16667.0,477.0,8509965.0,18301.0,465.0,6171525.0,16725.0,369.0,8751778.0,15826.0,553.0,8822784.0,17232.0,512.0,7687384.0,14956.0,514.0,7990674.999999999,14825.0,539.0,6963399.0,18871.0,369.0,8904794.0,19109.0,466.0,5027953.0,17519.0,287.0,6259834.0,16387.0,382.0,7645638.0,16549.0,462.0,6773142.0,17547.0,386.0,8280333.0,16141.0,513.0,4744768.0,17444.0,272.0,0.03725985863032011,0.03726105810302749
