,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4327074.0,6129.0,706.0,,
2019-11-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4392026.0,6221.0,706.0,,
2019-10-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4054558.0,5743.0,706.0,,
2019-9-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4450624.0,6304.0,706.0,,
2019-8-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4466862.0,6327.0,706.0,,
2019-7-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4422384.0,6264.0,706.0,,
2019-6-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4590412.0,6502.0,706.0,,
2019-5-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4539580.0,6430.0,706.0,,
2019-4-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4444270.0,6295.0,706.0,,
2019-3-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4500750.0,6375.0,706.0,,
2019-2-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4411088.0,6248.0,706.0,,
2019-1-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4252944.0,6024.0,706.0,,
2018-12-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4188698.0,5933.0,706.0,,
2018-11-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4226116.0,5986.0,706.0,,
2018-10-15,3605160.0,8235.0,2,7210320,16470,912,327 CASTLE PEAK RD|327 青山道,1820010.0,8835.0,206.0,5390310.0,7635.0,706.0,-0.03794671448699882,-0.03796728971962615
2018-9-15,3747360.0,8560.0,2,7494720,17120,912,327 CASTLE PEAK RD|327 青山道,1891904.0,9184.0,206.0,5602816.0,7936.0,706.0,-0.056805937398771156,-0.056801278166492164
2018-8-15,3973053.0,9075.5,2,7946106,18151,912,327 CASTLE PEAK RD|327 青山道,2005822.0,9737.0,206.0,5940284.0,8414.0,706.0,0.003097365799961338,0.003094777562862694
2018-7-15,3960785.0,9047.5,2,7921570,18095,912,327 CASTLE PEAK RD|327 青山道,1999642.0,9707.0,206.0,5921928.0,8388.0,706.0,0.06622818198630709,0.06623062871958041
2018-6-15,3714763.0,8485.5,2,7429526,16971,912,327 CASTLE PEAK RD|327 青山道,1875424.0,9104.0,206.0,5554102.0,7867.0,706.0,0.026360497934024174,0.026368309646205068
2018-5-15,3619355.0,8267.5,2,7238710,16535,912,327 CASTLE PEAK RD|327 青山道,1827220.0,8870.0,206.0,5411490.0,7665.0,706.0,0.009344796179200143,0.009339518984251116
2018-4-15,3585846.0,8191.0,2,7171692,16382,912,327 CASTLE PEAK RD|327 青山道,1810328.0,8788.0,206.0,5361364.0,7594.0,706.0,0.017960420476020644,0.017958118436587345
2018-3-15,3522579.0,8046.5,2,7045158,16093,912,327 CASTLE PEAK RD|327 青山道,1778398.0,8633.0,206.0,5266760.0,7460.0,706.0,0.01290071581504404,0.012902819738167093
2018-2-15,3477714.0,7944.0,2,6955428,15888,912,327 CASTLE PEAK RD|327 青山道,1755738.0,8523.0,206.0,5199690.0,7365.0,706.0,-0.0057822604161306135,-0.005757196495619565
2018-1-15,3497940.0,7990.0,2,6995880,15980,912,327 CASTLE PEAK RD|327 青山道,1765832.0,8572.0,206.0,5230048.0,7408.0,706.0,0.08954785480295446,0.08952069271152929
2017-12-15,3210451.0,7333.5,2,6420902,14667,912,327 CASTLE PEAK RD|327 青山道,1620808.0,7868.0,206.0,4800094.0,6799.0,706.0,-0.005980001640986221,-0.005964079972890501
2017-11-15,3229765.0,7377.5,2,6459530,14755,912,327 CASTLE PEAK RD|327 青山道,1630490.0,7915.0,206.0,4829040.0,6840.0,706.0,-0.029092080933317832,-0.029084687767322537
2017-10-15,3326541.0,7598.5,2,6653082,15197,912,327 CASTLE PEAK RD|327 青山道,1679312.0,8152.0,206.0,4973770.0,7045.0,706.0,0.06626431297557,0.0662316705255035
2017-9-15,3119809.0,7126.5,2,6239618,14253,912,327 CASTLE PEAK RD|327 青山道,1575076.0,7646.0,206.0,4664542.0,6607.0,706.0,0.007003297492150118,0.006994489190334852
2017-8-15,3098112.0,7077.0,2,6196224,14154,912,327 CASTLE PEAK RD|327 青山道,1564158.0,7593.0,206.0,4632066.0,6561.0,706.0,-0.022926648349568923,-0.022918680104928923
2017-7-15,3170808.0,7243.0,2,6341616,14486,912,327 CASTLE PEAK RD|327 青山道,1600826.0,7771.0,206.0,4740790.0,6715.0,706.0,-0.04791834001672479,-0.04791324350969439
2017-6-15,3330395.0,7607.5,2,6660790,15215,912,327 CASTLE PEAK RD|327 青山道,1681372.0,8162.0,206.0,4979418.0,7053.0,706.0,0.03341153851763057,0.03341710249269858
2017-5-15,3222719.0,7361.5,2,6445438,14723,912,327 CASTLE PEAK RD|327 青山道,1626988.0,7898.0,206.0,4818450.0,6825.0,706.0,0.023407689024607103,0.023425552620603307
2017-4-15,3149008.0,7193.0,2,6298016,14386,912,327 CASTLE PEAK RD|327 青山道,1589702.0,7717.0,206.0,4708314.0,6669.0,706.0,0.04575785038693603,0.04572217780039245
2017-3-15,3011221.0,6878.5,2,6022442,13757,912,327 CASTLE PEAK RD|327 青山道,1520280.0,7380.0,206.0,4502162.0,6377.0,706.0,0.05967492080294301,0.05969804344476959
2017-2-15,2841646.0,6491.0,2,5683292,12982,912,327 CASTLE PEAK RD|327 青山道,1434584.0,6964.0,206.0,4248708.0,6018.0,706.0,-0.04885230504649718,-0.04886804894131436
2017-1-15,2987597.0,6824.5,2,5975194,13649,912,327 CASTLE PEAK RD|327 青山道,1508332.0,7322.0,206.0,4466862.0,6327.0,706.0,0.06141625813089502,0.06143557041760639
2016-12-15,2814727.0,6429.5,2,5629454,12859,912,327 CASTLE PEAK RD|327 青山道,1420988.0,6898.0,206.0,4208466.0,5961.0,706.0,-0.011448293204426307,-0.011454489544895474
2016-11-15,2847324.0,6504.0,2,5694648,13008,912,327 CASTLE PEAK RD|327 青山道,1437468.0,6978.0,206.0,4257180.0,6030.0,706.0,-0.014233990828260823,-0.014246741436799049
