,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4460881.0,18784.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4027980.0000000005,19745.0,204.0,4046975.9999999995,18736.0,216.0,5307687.0,17871.0,297.0,,-0.05049011427627581,-0.05166436673285979
2022-11-15,4698088.0,19807.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4267884.0,20921.0,204.0,4289112.0,19857.0,216.0,5537268.0,18644.0,297.0,,-0.007060768940732487,-0.007035075113212996
2022-10-15,4731496.0,19947.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4297260.0,21065.0,204.0,4319568.0,19998.0,216.0,5577660.0,18780.0,297.0,,-0.0329148520817335,-0.03288729435340498
2022-9-15,4892533.0,20626.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4442304.0,21776.0,204.0,4466664.0,20679.0,216.0,5768631.0,19423.0,297.0,,0.013727970083778906,0.013878193049433829
2022-8-15,4826278.0,20343.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4373760.0,21440.0,204.0,4409208.0,20413.0,216.0,5695866.0,19178.0,297.0,,-0.041239999006729366,-0.04080028918540868
2022-7-15,5033875.0,21209.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4551240.0,22310.0,204.0,4588704.0,21244.0,216.0,5961681.0,20073.0,297.0,,0.025048122867102673,0.02506806721335253
2022-6-15,4910867.0,20690.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4439040.0,21760.0,204.0,4476816.0,20726.0,216.0,5816745.0,19585.0,297.0,,-0.05682318845033252,-0.05681507369700667
2022-5-15,5206730.0,21936.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4705872.0,23068.0,204.0,4746816.0,21976.0,216.0,6167502.0,20766.0,297.0,,0.0032712539498507276,0.003277688848235538
2022-4-15,5189753.0,21865.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4689960.0,22990.0,204.0,4731696.0,21906.0,216.0,6147603.0,20699.0,297.0,,0.05693505609048599,0.05694397447672461
2022-3-15,4910191.0,20687.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4436796.0,21749.0,204.0,4477032.0,20727.0,216.0,5816745.0,19585.0,297.0,,-0.15297620680238877,-0.1529705605371986
2022-2-15,5796993.0,24423.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",5237496.0,25674.0,204.0,5285952.0,24472.0,216.0,6867531.0,23123.0,297.0,,0.09678033943661335,0.09679206023681575
2022-1-15,5285464.0,22267.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4774620.0,23405.0,204.0,4819824.0,22314.0,216.0,6261948.0,21084.0,297.0,,-0.01748536627848507,-0.017472900825109217
2021-12-15,5379527.0,22663.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4858872.0,23818.0,204.0,4905792.0,22712.0,216.0,6373917.0,21461.0,297.0,,0.0018060165416813323,0.0018123416042907792
2021-11-15,5369829.0,22622.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4849488.0,23772.0,204.0,4897368.0,22673.0,216.0,6362631.0,21423.0,297.0,,0.016282615052249483,0.016292303084755932
2021-10-15,5283795.0,22260.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4771152.0,23388.0,204.0,4819176.0,22311.0,216.0,6261057.0,21081.0,297.0,,-0.020832032265614586,-0.020821114369501403
2021-9-15,5396209.0,22733.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4871928.0,23882.0,204.0,4921992.0,22787.0,216.0,6394707.0,21531.0,297.0,,-0.018105391640863222,-0.018097527966943527
2021-8-15,5495711.0,23152.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4961076.0,24319.0,204.0,5013144.0,23209.0,216.0,6512913.0,21929.0,297.0,,0.012450703529965246,0.012463193492901148
2021-7-15,5428127.0,22867.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4899264.0,24016.0,204.0,4951800.0,22925.0,216.0,6433317.0,21661.0,297.0,,0.058810185016313854,0.05881989782531516
2021-6-15,5126629.0,21597.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4626516.0,22679.0,204.0,4677048.0,21653.0,216.0,6076323.0,20459.0,297.0,,-0.04654222401425656,-0.046532161935455396
2021-5-15,5376881.0,22651.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4851528.0,23782.0,204.0,4905792.0,22712.0,216.0,6373323.0,21459.0,297.0,,0.008433367748735598,0.008444141042384112
