,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2019-3-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2019-2-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2019-1-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-12-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-11-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-10-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-9-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-8-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-7-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-6-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-5-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-4-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-3-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-2-15,,,117 APLIU ST|117 鴨寮街,,,687.0,,,
2018-1-15,,,117 APLIU ST|117 鴨寮街,,,687.0,687.0,,
