,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,13562664.0,12622.0,2,27125328,25244,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13391424.0,12492.0,1072.0,13733904.0,12752.0,1077.0,-0.01417574513511155,-0.014175811301597174
2019-11-15,13757689.5,12803.5,2,27515379,25607,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13584384.0,12672.0,1072.0,13930995.0,12935.0,1077.0,0.08389414185247035,0.08389417989417991
2019-10-15,12692835.0,11812.5,2,25385670,23625,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12532752.0,11691.0,1072.0,12852918.0,11934.0,1077.0,-0.08885806007154418,-0.08885803540437354
2019-9-15,13930689.0,12964.5,2,27861378,25929,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13754832.0,12831.0,1072.0,14106546.0,13098.0,1077.0,-0.003573902781160876,-0.0035738990085312228
2019-8-15,13980654.5,13011.0,2,27961309,26022,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13804144.0,12877.0,1072.0,14157165.0,13145.0,1077.0,0.009974804186575703,0.00997477197748875
2019-7-15,13842577.5,12882.5,2,27685155,25765,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13668000.0,12750.0,1072.0,14017155.0,13015.0,1077.0,-0.03649825787609973,-0.036498261097191564
2019-6-15,14366946.0,13370.5,2,28733892,26741,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",14185776.0,13233.0,1072.0,14548116.0,13508.0,1077.0,0.01123127636702037,0.011231281198003318
2019-5-15,14207379.0,13222.0,2,28414758,26444,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",14028192.0,13086.0,1072.0,14386566.0,13358.0,1077.0,0.021398250937203267,0.02139822325222096
2019-4-15,13909735.0,12945.0,2,27819470,25890,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13734464.0,12812.0,1072.0,14085006.0,13078.0,1077.0,-0.012510544188758743,-0.012510488977038658
2019-3-15,14085958.0,13109.0,2,28171916,26218,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13908128.0,12974.0,1072.0,14263788.0,13244.0,1077.0,0.020274706488161653,0.02027474024205156
2019-2-15,13806044.5,12848.5,2,27612089,25697,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13631552.0,12716.0,1072.0,13980537.0,12981.0,1077.0,0.03729871785152583,0.03729867194122627
2019-1-15,13309613.0,12386.5,2,26619226,24773,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13141648.0,12259.0,1072.0,13477578.0,12514.0,1077.0,0.01532851161595139,0.015328497069551972
2018-12-15,13108676.5,12199.5,2,26217353,24399,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12943328.0,12074.0,1072.0,13274025.0,12325.0,1077.0,0.011560034374906714,0.011609104855093477
2018-11-15,12958871.5,12059.5,2,25917743,24119,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12525248.0,11684.0,1072.0,13392495.0,12435.0,1077.0,-0.016594664781541146,-0.0165946342656772
2018-10-15,13177548.5,12263.0,2,26355097,24526,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12736432.0,11881.0,1072.0,13618665.0,12645.0,1077.0,-0.037969704863113685,-0.03796971836510554
2018-9-15,13697644.0,12747.0,2,27395288,25494,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13239200.0,12350.0,1072.0,14156088.0,13144.0,1077.0,-0.05679078875596266,-0.05679085426763841
2018-8-15,14522381.5,13514.5,2,29044763,27029,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",14036768.0,13094.0,1072.0,15007995.0,13935.0,1077.0,0.0031175815706681043,0.0031174614956392954
2018-7-15,14477247.5,13472.5,2,28954495,26945,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13993888.0,13054.0,1072.0,14960607.0,13891.0,1077.0,0.06624193740588513,0.06624193739859918
2018-6-15,13577826.0,12635.5,2,27155652,25271,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",13124496.0,12243.0,1072.0,14031156.0,13028.0,1077.0,0.026358622598192438,0.026358541142068148
2018-5-15,13229124.5,12311.0,2,26458249,24622,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12787888.0,11929.0,1072.0,13670361.0,12693.0,1077.0,0.009387928989170735,0.009387939162874614
2018-4-15,13106085.5,12196.5,2,26212171,24393,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",12668896.0,11818.0,1072.0,13543275.0,12575.0,1077.0,,
2018-3-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2018-2-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2018-1-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-12-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-11-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-10-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-9-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-8-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-7-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-6-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-5-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-4-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-3-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-2-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2017-1-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-12-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-11-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-10-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-9-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-8-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-7-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-6-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-5-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-4-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-3-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-2-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
2016-1-15,,,2,,,2149,"MONTE CARLTON(Block 7),TAI PO RD|爾登豪庭7座,大埔道",,,1072.0,,,1077.0,,
