,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9845788.444444444,17525.777777777777,9,88612096,157732,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14417700.0,18700.0,771.0,13564788.0,17258.0,786.0,7713402.0,16273.0,474.0,7769338.0,15446.0,503.0,8231145.0,16235.0,507.0,8967838.0,17723.0,506.0,9134945.0,18089.0,505.0,9571265.0,18953.0,505.0,9241675.0,19055.0,485.0,-0.017278738959674467,-0.017564402810304358
2019-11-15,10018902.444444444,17839.11111111111,9,90170122,160552,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14633580.0,18980.0,771.0,13767576.0,17516.0,786.0,7829058.0,16517.0,474.0,7885531.0,15677.0,503.0,8353839.0,16477.0,507.0,9104458.0,17993.0,506.0,9500565.0,18813.0,505.0,9713675.0,19235.0,505.0,9381840.0,19344.0,485.0,0.0800021693437758,0.07950083373675443
2019-10-15,9276742.888888888,16525.333333333332,9,83490686,148728,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",13509462.0,17522.0,771.0,12710406.0,16171.0,786.0,7227552.0,15248.0,474.0,7279919.0,14473.0,503.0,7712484.0,15212.0,507.0,8406178.0,16613.0,506.0,8771345.0,17369.0,505.0,8967285.0,17757.0,505.0,8906055.0,18363.0,485.0,-0.08896568206988009,-0.08896675079018934
2019-9-15,10182649.222222222,18139.11111111111,9,91643843,163252,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14828643.0,19233.0,771.0,13951500.0,17750.0,786.0,7933812.0,16738.0,474.0,7991664.0,15888.0,503.0,8466393.0,16699.0,507.0,9224886.0,18231.0,506.0,9627320.0,19064.0,505.0,9843965.0,19493.0,505.0,9775660.0,20156.0,485.0,-0.0036295436023174865,-0.0036253555167657936
2019-8-15,10219742.222222222,18205.11111111111,9,91977680,163846,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14883384.0,19304.0,771.0,14002590.0,17815.0,786.0,7962726.0,16799.0,474.0,8021341.0,15947.0,503.0,8497827.0,16761.0,507.0,9255752.0,18292.0,506.0,9662165.0,19133.0,505.0,9880830.0,19566.0,505.0,9811065.0,20229.0,485.0,0.009924598629667436,0.009923814689711152
2019-7-15,10119312.111111112,18026.222222222223,9,91073809,162236,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14736894.0,19114.0,771.0,13865040.0,17640.0,786.0,7884516.0,16634.0,474.0,7943376.0,15792.0,503.0,8415186.0,16598.0,507.0,9162142.0,18107.0,506.0,9567225.0,18945.0,505.0,9784880.0,19376.0,505.0,9714550.0,20030.0,485.0,-0.03649403146928343,-0.036494616375956856
2019-6-15,10502594.111111112,18709.0,9,94523347,168381,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15295098.0,19838.0,771.0,14390088.0,18308.0,786.0,8183610.0,17265.0,474.0,8245176.0,16392.0,503.0,8735103.0,17229.0,507.0,9506222.0,18787.0,506.0,9929310.0,19662.0,505.0,10156560.0,20112.0,505.0,10082180.0,20788.0,485.0,0.011207217564376926,0.011206197639852089
2019-5-15,10386193.777777778,18501.666666666668,9,93475744,166515,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15125478.0,19618.0,771.0,14230530.0,18105.0,786.0,8093076.0,17074.0,474.0,8154636.0,16212.0,503.0,8639280.0,17040.0,507.0,9398444.0,18574.0,506.0,9818715.0,19443.0,505.0,10044955.0,19891.0,505.0,9970630.0,20558.0,485.0,0.02133294322494983,0.02133258094788304
2019-4-15,10169253.666666666,18115.222222222223,9,91523283,163037,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14809368.0,19208.0,771.0,13933422.0,17727.0,786.0,7924332.0,16718.0,474.0,7985125.0,15875.0,503.0,8459295.0,16685.0,507.0,9199586.0,18181.0,506.0,9613685.0,19037.0,505.0,9836390.0,19478.0,505.0,9762080.0,20128.0,485.0,-0.012561435960368184,-0.012561246676478288
2019-3-15,10298619.111111112,18345.666666666668,9,92687572,165111,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14998263.0,19453.0,771.0,14110272.0,17952.0,786.0,8025294.0,16931.0,474.0,8087737.0,16079.0,503.0,8568300.0,16900.0,507.0,9313436.0,18406.0,506.0,9735390.0,19278.0,505.0,9962640.0,19728.0,505.0,9886240.0,20384.0,485.0,0.020262398241047697,0.020261752928963483
2019-2-15,10094088.666666666,17981.333333333332,9,90846798,161832,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14700657.0,19067.0,771.0,13829670.0,17595.0,786.0,7866030.0,16595.0,474.0,7927783.0,15761.0,503.0,8398962.0,16566.0,507.0,9126216.0,18036.0,506.0,9541975.0,18895.0,505.0,9765690.0,19338.0,505.0,9689815.0,19979.0,485.0,0.037291681995375026,0.03729152511954048
