,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4150000.25,17072.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3295440.0,16560.0,199.0,4833236.0,16724.0,289.0,3519108.0,17508.0,201.0,4952217.0,17499.0,283.0,,-0.0547966249864269,-0.05504434819908954
2022-11-15,4390589.75,18067.25,"THE VIM,HAI TAN ST|佳悅,海壇街",3492848.0,17552.0,199.0,5122814.0,17726.0,289.0,3730158.0,18558.0,201.0,5216539.0,18433.0,283.0,,-0.0034440116590468417,-0.003969293107487948
2022-10-15,4405763.25,18139.25,"THE VIM,HAI TAN ST|佳悅,海壇街",3517922.0,17678.0,199.0,5159517.0,17853.0,289.0,3757092.0,18692.0,201.0,5188522.0,18334.0,283.0,,-0.033009965405093156,-0.03301170136204923
2022-9-15,4556162.0,18758.5,"THE VIM,HAI TAN ST|佳悅,海壇街",3637919.0,18281.0,199.0,5335518.0,18462.0,289.0,3885531.0,19331.0,201.0,5365680.0,18960.0,283.0,,0.016108403047057074,0.016252674919413845
2022-8-15,4483933.0,18458.5,"THE VIM,HAI TAN ST|佳悅,海壇街",3591751.0,18049.0,199.0,5242460.0,18140.0,289.0,3804327.0,18927.0,201.0,5297194.0,18718.0,283.0,,-0.03926191758066078,-0.03925778454411788
2022-7-15,4667175.25,19212.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3738414.0,18786.0,199.0,5456898.0,18882.0,289.0,3959700.0,19700.0,201.0,5513689.0,19483.0,283.0,,0.025019237606053846,0.02502167389129717
2022-6-15,4553256.25,18743.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3647073.0,18327.0,199.0,5323669.0,18421.0,289.0,3863019.0,19219.0,201.0,5379264.0,19008.0,283.0,,-0.056837612392327874,-0.05683519303586482
2022-5-15,4827648.25,19873.25,"THE VIM,HAI TAN ST|佳悅,海壇街",3866769.0,19431.0,199.0,5644748.0,19532.0,289.0,4095777.0,20377.0,201.0,5703299.0,20153.0,283.0,,0.0032882007786649847,0.0032941235864296647
2022-4-15,4811826.0,19808.0,"THE VIM,HAI TAN ST|佳悅,海壇街",3854033.0,19367.0,199.0,5626541.0,19469.0,289.0,4082108.9999999995,20309.0,201.0,5684621.0,20087.0,283.0,,0.05689035557618505,0.056891699014232966
2022-3-15,4552814.75,18741.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3646476.0,18324.0,199.0,5323669.0,18421.0,289.0,3862416.0,19216.0,201.0,5378698.0,19006.0,283.0,,-0.1529559514521499,-0.15295353882310403
2022-2-15,5374944.5,22126.0,"THE VIM,HAI TAN ST|佳悅,海壇街",4304967.0,21633.0,199.0,6285172.0,21748.0,289.0,4559685.0,22685.0,201.0,6349954.0,22438.0,283.0,,0.0967683616095889,0.09677179503067102
