,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5821162.666666667,18974.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4609376.0,19868.0,232.0,7413688.0,18488.0,401.0,5440424.0,18568.0,293.0,,-0.009803370123943722,-0.01012068305915903
2022-11-15,5878794.666666667,19168.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4627472.0,19946.0,232.0,7440154.0,18554.0,401.0,5568758.0,19006.0,293.0,,-0.00721381151906364,-0.007233491583944596
2022-10-15,5921511.333333333,19308.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4662040.0,20095.0,232.0,7493888.0,18688.0,401.0,5608606.0,19142.0,293.0,,-0.03305324617139738,-0.03306847394251
2022-9-15,6123927.0,19968.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4822120.0,20785.0,232.0,7749726.0,19326.0,401.0,5799935.0,19795.0,293.0,,0.012837755813218887,0.012815310745925457
2022-8-15,6046306.0,19716.0,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4762032.0,20526.0,232.0,7651080.0,19080.0,401.0,5725806.0,19542.0,293.0,,-0.03939870609773011,-0.03941534713763706
2022-7-15,6294293.0,20525.0,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4958304.0,21372.0,232.0,7964662.0,19862.0,401.0,5959913.0,20341.0,293.0,,0.0248687073605236,0.02484937252421693
2022-6-15,6141560.333333333,20027.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4838824.0,20857.0,232.0,7770979.0,19379.0,401.0,5814878.0,19846.0,293.0,,-0.05697355180874841,-0.056989939258864086
2022-5-15,6512606.666666667,21237.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5132072.0,22121.0,232.0,8240149.0,20549.0,401.0,6165599.0,21043.0,293.0,,0.0031354818881239588,0.003117373848697147
2022-4-15,6492250.333333333,21171.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5116992.0,22056.0,232.0,8214084.0,20484.0,401.0,6145675.0,20975.0,293.0,,0.05676960549169108,0.056751630507120954
2022-3-15,6143487.0,20034.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",4843000.0,20875.0,232.0,7772583.0,19383.0,401.0,5814878.0,19846.0,293.0,,-0.1530766672989713,-0.153095013315673
2022-2-15,7253888.0,23656.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5719496.0,24653.0,232.0,9176885.0,22885.0,401.0,6865283.0,23431.0,293.0,,0.09659469386510744,0.0965713314482608
2022-1-15,6614921.666666667,21573.0,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5216752.0,22486.0,232.0,8368068.0,20868.0,401.0,6259945.0,21365.0,293.0,,-0.017635884668839585,-0.017652773139856137
2021-12-15,6733676.0,21960.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5311408.0,22894.0,232.0,8518042.0,21242.0,401.0,6371578.0,21746.0,293.0,,0.0016673938302709246,0.0016419861951531
2021-11-15,6722467.0,21924.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5303752.0,22861.0,232.0,8503205.0,21205.0,401.0,6360444.0,21708.0,293.0,,0.01608917787540154,0.01606574597583954
2021-10-15,6616020.666666667,21578.0,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5220928.0,22504.0,232.0,8368068.0,20868.0,401.0,6259066.0,21362.0,293.0,,-0.020959577960314113,-0.020976694242373806
2021-9-15,6757658.333333333,22040.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5333680.0,22990.0,232.0,8546914.0,21314.0,401.0,6392381.0,21817.0,293.0,,-0.018297375054785903,-0.018320837354316777
2021-8-15,6883610.333333333,22451.666666666668,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5434368.0,23424.0,232.0,8705710.0,21710.0,401.0,6510753.0,22221.0,293.0,,0.0129984794351925,0.013009475109039048
2021-7-15,6795282.0,22163.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5369408.0,23144.0,232.0,8599445.0,21445.0,401.0,6416993.0,21901.0,293.0,,0.058625201784751946,0.05860625069655634
2021-6-15,6418968.666666667,20936.333333333332,"BONDLANE I,YEE KUK ST|連方 I,醫局街",5073144.0,21867.0,232.0,8123057.000000001,20257.0,401.0,6060705.0,20685.0,293.0,,,
2021-5-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2021-4-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2021-3-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2021-2-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2021-1-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-12-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-11-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-10-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-9-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-8-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-7-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-6-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-5-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-4-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-3-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-2-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2020-1-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-12-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-11-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-10-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-9-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-8-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-7-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-6-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-5-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-4-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-3-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-2-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2019-1-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-12-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-11-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-10-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-9-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-8-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-7-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-6-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-5-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-4-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-3-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-2-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,,,
2018-1-15,,,"BONDLANE I,YEE KUK ST|連方 I,醫局街",,,232.0,,,401.0,,,293.0,308.6666666666667,,
