,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,8889559.666666666,15645.0,6,53337358,93870,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11118016.0,15106.0,736.0,7772376.0,15927.0,488.0,7519050.0,15345.0,490.0,11059008.0,15296.0,723.0,7878212.0,15788.0,499.0,7990696.0,16408.0,487.0,-0.01474654272325282,-0.014757126663587972
2019-11-15,9022612.0,15879.333333333334,6,54135672,95276,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11282144.0,15329.0,736.0,7889008.0,16166.0,488.0,7631750.0,15575.0,490.0,11225298.0,15526.0,723.0,7996974.0,16026.0,499.0,8110498.0,16654.0,487.0,0.07920401961676893,0.07866135313830269
2019-10-15,8360432.166666667,14721.333333333334,6,50162593,88328,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",10428384.0,14169.0,736.0,7454200.0,15275.0,488.0,7045710.0,14379.0,490.0,10363482.0,14334.0,723.0,7382705.0,14795.0,499.0,7488112.0,15376.0,487.0,-0.08898003783479536,-0.08897002702312429
2019-9-15,9177002.166666666,16159.0,6,55062013,96954,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11449216.0,15556.0,736.0,8181808.0,16766.0,488.0,7733670.0,15783.0,490.0,11374959.0,15733.0,723.0,8103261.0,16239.0,499.0,8219099.0,16877.0,487.0,-0.0036278671297126364,-0.003617454216594984
2019-8-15,9210416.333333334,16217.666666666666,6,55262498,97306,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11492640.0,15615.0,736.0,8211088.0,16826.0,488.0,7762090.0,15841.0,490.0,11416170.0,15790.0,723.0,8131704.0,16296.0,499.0,8248806.0,16938.0,487.0,0.009901743158544862,0.009911677097279803
2019-7-15,9120111.333333334,16058.5,6,54720668,96351,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11381504.0,15464.0,736.0,8130080.0,16660.0,488.0,7685650.0,15685.0,490.0,11304105.0,15635.0,723.0,8051365.0,16135.0,499.0,8167964.0,16772.0,487.0,-0.036503398009600896,-0.03649000000000002
2019-6-15,9465639.333333334,16666.666666666668,6,56793836,100000,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11815008.0,16053.0,736.0,8437520.0,17290.0,488.0,7976710.0,16279.0,490.0,11732121.0,16227.0,723.0,8355755.0,16745.0,499.0,8476722.0,17406.0,487.0,0.011183748769912016,0.01119391665739733
2019-5-15,9360948.833333334,16482.166666666668,6,56165693,98893,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11686208.0,15878.0,736.0,8343824.0,17098.0,488.0,7888020.0,16098.0,490.0,11601981.0,16047.0,723.0,8262442.0,16558.0,499.0,8383218.0,17214.0,487.0,0.021323884911374824,0.021337023764032903
2019-4-15,9165504.666666666,16137.833333333334,6,54993028,96827,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11444064.0,15549.0,736.0,8169120.0,16740.0,488.0,7723380.0,15762.0,490.0,11359776.0,15712.0,723.0,8088790.0,16210.0,499.0,8207898.0,16854.0,487.0,-0.012577851722928135,-0.012563864612121223
2019-3-15,9282255.5,16343.166666666666,6,55693533,98059,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11592000.0,15750.0,736.0,8272576.0,16952.0,488.0,7821380.0,15962.0,490.0,11504376.0,15912.0,723.0,8191085.0,16415.0,499.0,8312116.0,17068.0,487.0,0.020258999280459822,0.020268231523967062
2019-2-15,9097940.333333334,16018.5,6,54587642,96111,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11363840.0,15440.0,736.0,8107632.0,16614.0,488.0,7666050.0,15645.0,490.0,11275185.0,15595.0,723.0,8027912.0,16088.0,499.0,8147023.0,16729.0,487.0,0.03727116769703431,0.0372884648592644
