,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,884,172 YEE KUK ST|172 醫局街,748650.0,7130.0,105.0,,,779.0,,
2019-11-15,,,2,,,884,172 YEE KUK ST|172 醫局街,759885.0,7237.0,105.0,,,779.0,,
2019-10-15,,,2,,,884,172 YEE KUK ST|172 醫局街,701505.0,6681.0,105.0,,,779.0,,
2019-9-15,,,2,,,884,172 YEE KUK ST|172 醫局街,770070.0,7334.0,105.0,,,779.0,,
2019-8-15,,,2,,,884,172 YEE KUK ST|172 醫局街,772800.0,7360.0,105.0,,,779.0,,
2019-7-15,,,2,,,884,172 YEE KUK ST|172 醫局街,765240.0,7288.0,105.0,,,779.0,,
2019-6-15,,,2,,,884,172 YEE KUK ST|172 醫局街,794220.0,7564.0,105.0,,,779.0,,
2019-5-15,,,2,,,884,172 YEE KUK ST|172 醫局街,785400.0,7480.0,105.0,,,779.0,,
2019-4-15,,,2,,,884,172 YEE KUK ST|172 醫局街,769020.0,7324.0,105.0,,,779.0,,
2019-3-15,,,2,,,884,172 YEE KUK ST|172 醫局街,778785.0,7417.0,105.0,,,779.0,,
2019-2-15,,,2,,,884,172 YEE KUK ST|172 醫局街,763245.0,7269.0,105.0,,,779.0,,
2019-1-15,,,2,,,884,172 YEE KUK ST|172 醫局街,735840.0,7008.0,105.0,,,779.0,,
2018-12-15,2669805.5,6413.5,2,5339611,12827,884,172 YEE KUK ST|172 醫局街,724815.0,6903.0,105.0,4614796.0,5924.0,779.0,-0.008852667095205158,-0.008809211034695896
2018-11-15,2693651.5,6470.5,2,5387303,12941,884,172 YEE KUK ST|172 醫局街,731220.0,6964.0,105.0,4656083.0,5977.0,779.0,-0.016623369132289678,-0.01664133738601825
2018-10-15,2739186.0,6580.0,2,5478372,13160,884,172 YEE KUK ST|172 醫局街,743610.0,7082.0,105.0,4734762.0,6078.0,779.0,-0.03799300827501628,-0.03801169590643272
2018-9-15,2847366.0,6840.0,2,5694732,13680,884,172 YEE KUK ST|172 醫局街,773010.0,7362.0,105.0,4921722.0,6318.0,779.0,-0.05673676516211723,-0.05674687995587124
2018-8-15,3018633.5,7251.5,2,6037267,14503,884,172 YEE KUK ST|172 醫局街,819525.0,7805.0,105.0,5217742.0,6698.0,779.0,0.0030070606115430998,0.003043087350439233
2018-7-15,3009583.5,7229.5,2,6019167,14459,884,172 YEE KUK ST|172 醫局街,817005.0,7781.0,105.0,5202162.0,6678.0,779.0,0.06625136156290856,0.06621930536096166
2018-6-15,2822583.5,6780.5,2,5645167,13561,884,172 YEE KUK ST|172 醫局街,766290.0,7298.0,105.0,4878877.0,6263.0,779.0,0.02639250706544427,0.026415379957614338
2018-5-15,2750004.0,6606.0,2,5500008,13212,884,172 YEE KUK ST|172 醫局街,746550.0,7110.0,105.0,4753458.0,6102.0,779.0,0.009421189555258946,0.009397203758881423
2018-4-15,2724337.5,6544.5,2,5448675,13089,884,172 YEE KUK ST|172 醫局街,739620.0,7044.0,105.0,4709055.0,6045.0,779.0,0.017857753320003944,0.017886305311455075
2018-3-15,2676540.5,6429.5,2,5353081,12859,884,172 YEE KUK ST|172 醫局街,726600.0,6920.0,105.0,4626481.0,5939.0,779.0,0.01295150452150251,0.012918471839306722
2018-2-15,2642318.5,6347.5,2,5284637,12695,884,172 YEE KUK ST|172 醫局街,717360.0,6832.0,105.0,4567277.0,5863.0,779.0,-0.005773120466997073,-0.0057952854569660595
2018-1-15,2657661.5,6384.5,2,5315323,12769,884,172 YEE KUK ST|172 醫局街,721560.0,6872.0,105.0,4593763.0,5897.0,779.0,0.08943726145028386,0.08950511945392492
2017-12-15,2439481.0,5860.0,2,4878962,11720,884,172 YEE KUK ST|172 醫局街,662235.0,6307.0,105.0,4216727.0,5413.0,779.0,-0.0058921571024556085,-0.00593723494486853
2017-11-15,2453940.0,5895.0,2,4907880,11790,884,172 YEE KUK ST|172 醫局街,666225.0,6345.0,105.0,4241655.0,5445.0,779.0,-0.02906678731749801,-0.02907024623239729
2017-10-15,2527403.5,6071.5,2,5054807,12143,884,172 YEE KUK ST|172 醫局街,686175.0,6535.0,105.0,4368632.0,5608.0,779.0,0.0661709292282251,0.06620423215383275
2017-9-15,2370542.5,5694.5,2,4741085,11389,884,172 YEE KUK ST|172 醫局街,643545.0,6129.0,105.0,4097540.0,5260.0,779.0,0.007081519036600703,0.00707401184896983
2017-8-15,2353873.5,5654.5,2,4707747,11309,884,172 YEE KUK ST|172 醫局街,639030.0,6086.0,105.0,4068717.0,5223.0,779.0,-0.02300097186328165,-0.02298056155507555
2017-7-15,2409289.5,5787.5,2,4818579,11575,884,172 YEE KUK ST|172 醫局街,654045.0,6229.0,105.0,4164534.0,5346.0,779.0,,
2017-6-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,4374085.0,5615.0,779.0,,
2017-5-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,4232307.0,5433.0,779.0,,
2017-4-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,4135711.0,5309.0,779.0,,
2017-3-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3954983.0,5077.0,779.0,,
2017-2-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3732189.0,4791.0,779.0,,
2017-1-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3923823.0,5037.0,779.0,,
2016-12-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3696355.0,4745.0,779.0,,
2016-11-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3739979.0,4801.0,779.0,,
2016-10-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,3793730.0,4870.0,779.0,,
2016-9-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-8-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-7-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-6-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-5-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-4-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-3-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-2-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
2016-1-15,,,2,,,884,172 YEE KUK ST|172 醫局街,,,105.0,,,779.0,,
