,A,B,C,D,E,F,G,H,I
3.0,18203,17657,18290,18199,17987,14791,14894,17981,18617
6.0,18595,18013,18690,18591,18331,14987,15184,18972,19279
10.0,19090,20067,18768,16614,20058,22664,22133,16282,20899
