,A,B,C,D,E,E & F,F,G,H,I,J
2.0,6895350,6943320,7251475,7708220,8923540,15698375,7891225,7183875,8026930,8661800,8757940
3.0,6453370,6989760,7299985,7751460,8983800,15803375,7944345,8420690,8061790,8983800,8813600
