,1,4,7,8,A,A10,A11,A12,A2,B12,B2,B3
3.0,1596,1596,1596,1596,2045,1596,1596,1596,1596,1596,1596,1596
6.0,1596,1596,1596,1596,2045,1596,1596,1596,1596,1596,1596,1596
10.0,1596,1596,1596,1596,2045,1596,1596,1596,1596,1596,1596,1596
