,A,B,C,D,E,F,G,H,I
3.0,8482598,7521882,8340240,8462535,6313437,5191641,5227794,6239407,5585100
6.0,8665270,7673538,8522640,8644815,6434181,5260437,5329584,6583284,5783700
10.0,8304150,6421440,6850320,5482620,5415660,5552680,5422585,5649854,5956215
