,1,10,11,12,13,14,2,3,4,5,6,7,8,9,N
3.0,13502,13064,13252,15430,15425,15512,13179,13187,13056,13161,13110,13516,13226,15267,15328
6.0,13719,13335,13284,15719,15718,13386,14896,13470,13364,13545,13514,13812,13510,13441,15615
8.0,13812,13517,13722,15909,15910,13707,15822,14962,13538,13741,13699,13122,13686,13626,15806
