,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
16220,19052401230185,ASP,2019-05-06,RES,blank,1966/12,3.75,0,503,0,7455,PORTION OF F/R ABOVE LG/F                                                                                ,blank,5551431,19052401230185,B,,blank,blank,blank,blank,blank,blank,VILLAGE RD,山村道,58,blank,HHV,IL2551sB,||Phase |Block ,山村道|Phase|Block,山村道|Phase|Block|G|B,跑馬地/黃泥涌,1966,54,blankblank,58 VILLAGE RD|山村道,58 VILLAGE RD,58 山村道,58 山村道,58 VILLAGE RD,58 VILLAGE RD|山村道,VILLAGE RDblankblankblank|Phaseblank|Blockblank|G|Bconsid3.75,G,近乎零,高層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
16347,19092002090047,ASP,2019-08-26,RES,blank,1956/09,4.0,0,197,0,20305,blank,blank,5614538,19092002090047,D,6.0,blank,blank,LAI CHI BLDG,禮智大廈,blank,blank,LEIGHTON RD,禮頓道,44,blank,HHV,IL2553sAss3sARP /,|LAI CHI BLDG禮智大廈|Phase |Block ,禮頓道LAI CHI BLDG禮智大廈|Phase|Block,禮頓道LAI CHI BLDG禮智大廈|Phase|Block|6|D,跑馬地/黃泥涌,1956,64,LAI CHI BLDG禮智大廈,44 LEIGHTON RD|禮頓道,44 LEIGHTON RD,44 禮頓道,"禮智大廈,禮頓道","LAI CHI BLDG,LEIGHTON RD","LAI CHI BLDG,LEIGHTON RD|禮智大廈,禮頓道",LEIGHTON RDblankLAI CHI BLDG禮智大廈|Phaseblank|Blockblank|6|Dconsid4.0,6,高,低層,東南,四正,良好,單位實用四正 交通方便 配套完善
16210,19052101940018,ASP,2019-04-26,RES,blank,1967/11,4.3,0,292,0,14726,RF                                                                                ,blank,5547998,19052101940018,B,5.0,blank,blank,blank,blank,blank,blank,CHEONG MING ST,昌明街,4,6,HHV,IL2574RP / IL2569RP,||Phase |Block ,昌明街|Phase|Block,昌明街|Phase|Block|5|B,跑馬地/黃泥涌,1967,53,blankblank,4-6 CHEONG MING ST|昌明街,4-6 CHEONG MING ST,4-6 昌明街,4-6 昌明街,4-6 CHEONG MING ST,4-6 CHEONG MING ST|昌明街,CHEONG MING STblankblankblank|Phaseblank|Blockblank|5|Bconsid4.3,5,中,低層,南,四正,基本,單位實用四正 交通方便 配套完善
16211,19052101940028,ASP,2019-04-26,RES,blank,1967/11,4.3,0,298,0,14430,RF                                                                              ,blank,5547999,19052101940028,D,5.0,blank,blank,blank,blank,blank,blank,CHEONG MING ST,昌明街,4,6,HHV,IL2574RP / IL2569RP,||Phase |Block ,昌明街|Phase|Block,昌明街|Phase|Block|5|D,跑馬地/黃泥涌,1967,53,blankblank,4-6 CHEONG MING ST|昌明街,4-6 CHEONG MING ST,4-6 昌明街,4-6 昌明街,4-6 CHEONG MING ST,4-6 CHEONG MING ST|昌明街,CHEONG MING STblankblankblank|Phaseblank|Blockblank|5|Dconsid4.3,5,中,低層,西南,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16048,19020100960306,ASP,2019-01-11,RES,blank,1989/07,4.3,338,193,12722,22280,blank,blank,5493570,19020100960306,B,11.0,blank,blank,MANNIE GDN,萬俊花園,blank,blank,TSUN YUEN ST,晉源街,8,blank,HHV,IL2663 / IL2664RP /,|MANNIE GDN萬俊花園|Phase |Block ,晉源街MANNIE GDN萬俊花園|Phase|Block,晉源街MANNIE GDN萬俊花園|Phase|Block|11|B,跑馬地/黃泥涌,1989,31,MANNIE GDN萬俊花園,8 TSUN YUEN ST|晉源街,8 TSUN YUEN ST,8 晉源街,"萬俊花園,晉源街","MANNIE GDN,TSUN YUEN ST","MANNIE GDN,TSUN YUEN ST|萬俊花園,晉源街",TSUN YUEN STblankMANNIE GDN萬俊花園|Phaseblank|Blockblank|11|Bconsid4.3,11,低,高層,東,沒資料,有,業主減價 上車筍盤 歡迎約睇
16115,19040300850010,ASP,2019-03-26,RES,blank,1989/07,4.33,338,193,12811,22435,blank,blank,5520047,19040300850010,A,7.0,blank,blank,MANNIE GDN,萬俊花園,blank,blank,TSUN YUEN ST,晉源街,8,blank,HHV,IL2663 / IL2664RP /,|MANNIE GDN萬俊花園|Phase |Block ,晉源街MANNIE GDN萬俊花園|Phase|Block,晉源街MANNIE GDN萬俊花園|Phase|Block|7|A,跑馬地/黃泥涌,1989,31,MANNIE GDN萬俊花園,8 TSUN YUEN ST|晉源街,8 TSUN YUEN ST,8 晉源街,"萬俊花園,晉源街","MANNIE GDN,TSUN YUEN ST","MANNIE GDN,TSUN YUEN ST|萬俊花園,晉源街",TSUN YUEN STblankMANNIE GDN萬俊花園|Phaseblank|Blockblank|7|Aconsid4.33,7,低,中層,西,四正,有,單位實用四正 交通方便 配套完善
16483,20031101140049,ASP,2020-02-21,RES,blank,1972/09,4.38,0,245,0,17878,blank,blank,5683361,20031101140049,G,10.0,blank,blank,YEE FUNG BLDG,怡豐大廈,blank,blank,VILLAGE RD,山村道,1,blank,HHV,IL8767,|YEE FUNG BLDG怡豐大廈|Phase |Block ,山村道YEE FUNG BLDG怡豐大廈|Phase|Block,山村道YEE FUNG BLDG怡豐大廈|Phase|Block|10|G,跑馬地/黃泥涌,1972,48,YEE FUNG BLDG怡豐大廈,1 VILLAGE RD|山村道,1 VILLAGE RD,1 山村道,"怡豐大廈,山村道","YEE FUNG BLDG,VILLAGE RD","YEE FUNG BLDG,VILLAGE RD|怡豐大廈,山村道",VILLAGE RDblankYEE FUNG BLDG怡豐大廈|Phaseblank|Blockblank|10|Gconsid4.38,10,中,低層,東,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16288,19070301830067,ASP,2019-06-06,RES,blank,1956/09,4.56,0,211,0,21611,blank,blank,5575783,19070301830067,A,6.0,blank,blank,LAI CHI BLDG,禮智大廈,blank,blank,LEIGHTON RD,禮頓道,44,blank,HHV,IL2553sAss3sARP /,|LAI CHI BLDG禮智大廈|Phase |Block ,禮頓道LAI CHI BLDG禮智大廈|Phase|Block,禮頓道LAI CHI BLDG禮智大廈|Phase|Block|6|A,跑馬地/黃泥涌,1956,64,LAI CHI BLDG禮智大廈,44 LEIGHTON RD|禮頓道,44 LEIGHTON RD,44 禮頓道,"禮智大廈,禮頓道","LAI CHI BLDG,LEIGHTON RD","LAI CHI BLDG,LEIGHTON RD|禮智大廈,禮頓道",LEIGHTON RDblankLAI CHI BLDG禮智大廈|Phaseblank|Blockblank|6|Aconsid4.56,6,高,高層,東北,呂字型,有,業主減價 上車筍盤 歡迎約睇
16261,19061901170015,ASP,2019-06-13,RES,blank,1989/07,4.7,338,193,13905,24352,blank,blank,5567704,19061901170015,A,16.0,blank,blank,MANNIE GDN,萬俊花園,blank,blank,TSUN YUEN ST,晉源街,8,blank,HHV,IL2663 / IL2664RP /,|MANNIE GDN萬俊花園|Phase |Block ,晉源街MANNIE GDN萬俊花園|Phase|Block,晉源街MANNIE GDN萬俊花園|Phase|Block|16|A,跑馬地/黃泥涌,1989,31,MANNIE GDN萬俊花園,8 TSUN YUEN ST|晉源街,8 TSUN YUEN ST,8 晉源街,"萬俊花園,晉源街","MANNIE GDN,TSUN YUEN ST","MANNIE GDN,TSUN YUEN ST|萬俊花園,晉源街",TSUN YUEN STblankMANNIE GDN萬俊花園|Phaseblank|Blockblank|16|Aconsid4.7,16,低,低層,東北,四正,有,業主減價 上車筍盤 歡迎約睇
16321,19082000540109,ASP,2019-08-12,RES,blank,1989/07,4.8,338,193,14201,24870,blank,blank,5600880,19082000540109,B,13.0,blank,blank,MANNIE GDN,萬俊花園,blank,blank,TSUN YUEN ST,晉源街,8,blank,HHV,IL2663 / IL2664RP /,|MANNIE GDN萬俊花園|Phase |Block ,晉源街MANNIE GDN萬俊花園|Phase|Block,晉源街MANNIE GDN萬俊花園|Phase|Block|13|B,跑馬地/黃泥涌,1989,31,MANNIE GDN萬俊花園,8 TSUN YUEN ST|晉源街,8 TSUN YUEN ST,8 晉源街,"萬俊花園,晉源街","MANNIE GDN,TSUN YUEN ST","MANNIE GDN,TSUN YUEN ST|萬俊花園,晉源街",TSUN YUEN STblankMANNIE GDN萬俊花園|Phaseblank|Blockblank|13|Bconsid4.8,13,低,中層,東北,呂字型,良好,業主減價 上車筍盤 歡迎約睇
16079,19031900740070,ASP,2019-03-13,RES,blank,1989/06,4.98,401,260,12419,19154,blank,blank,5511858,19031900740070,A,8.0,blank,blank,KING KWONG MANS,景光樓,blank,blank,KING KWONG ST,景光街,8,blank,HHV,IL3105RP / IL3105sCRP /,|KING KWONG MANS景光樓|Phase |Block ,景光街KING KWONG MANS景光樓|Phase|Block,景光街KING KWONG MANS景光樓|Phase|Block|8|A,跑馬地/黃泥涌,1989,31,KING KWONG MANS景光樓,8 KING KWONG ST|景光街,8 KING KWONG ST,8 景光街,"景光樓,景光街","KING KWONG MANS,KING KWONG ST","KING KWONG MANS,KING KWONG ST|景光樓,景光街",KING KWONG STblankKING KWONG MANS景光樓|Phaseblank|Blockblank|8|Aconsid4.98,8,低,高層,南,四正,良好,單位實用四正 交通方便 配套完善
