,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_address,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
37765,19041100720063,ASP,2019-03-12,RES,blank,1987/01,3.8,305,258,12459,14729,blank,blank,5524272,19041100720063,B,4.0,blank,blank,BONITO CASA,太子臺,blank,blank,PRINCE'S TERR,太子臺,4,blank,HMW,IL151sB,|BONITO CASA太子臺|Phase |Block ,太子臺BONITO CASA太子臺|Phase|Block,太子臺BONITO CASA太子臺|Phase|Block|4|B,西半山,1987,33,BONITO CASA太子臺,4 PRINCE'S TERR,4 太子臺,4 PRINCE'S TERR|4 太子臺,"太子臺,太子臺","BONITO CASA,PRINCE'S TERR","BONITO CASA,PRINCE'S TERR|太子臺,太子臺",PRINCE'S TERRblankBONITO CASA太子臺|Phaseblank|Blockblank|4|Bconsid3.8,4,低,高層,西北,呂字型,基本,單位實用四正 交通方便 配套完善
38355,20011701260027,ASP,2020-01-03,RES,blank,1986/12,4.0,344,242,11628,16529,blank,blank,5664190,20011701260027,D,2.0,blank,blank,RYAN MANS,樂欣大廈,blank,blank,MOSQUE ST,摩羅廟街,31,37,HMW,IL343sB,|RYAN MANS樂欣大廈|Phase |Block ,摩羅廟街RYAN MANS樂欣大廈|Phase|Block,摩羅廟街RYAN MANS樂欣大廈|Phase|Block|2|D,西半山,1986,34,RYAN MANS樂欣大廈,31-37 MOSQUE ST,31-37 摩羅廟街,31-37 MOSQUE ST|31-37 摩羅廟街,"樂欣大廈,摩羅廟街","RYAN MANS,MOSQUE ST","RYAN MANS,MOSQUE ST|樂欣大廈,摩羅廟街",MOSQUE STblankRYAN MANS樂欣大廈|Phaseblank|Blockblank|2|Dconsid4.0,2,低,低層,南,沒資料,基本,業主減價 上車筍盤 歡迎約睇
38781,20062300550070,ASP,2020-06-03,RES,blank,2021/03,4.888,0,181,0,27006,blank,blank,5727867,20062300550070,D,5.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|5|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|5|Dconsid4.888,5,近乎零,高層,西南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38780,20062300550063,ASP,2020-06-03,RES,blank,2021/03,4.9782,0,181,0,27504,blank,blank,5727866,20062300550063,D,6.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|6|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|6|Dconsid4.9782,6,近乎零,低層,西,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38400,20021101170034,ASP,2020-02-04,RES,blank,1997/03,5.0,732,528,6831,9470,blank,blank,5672695,20021101170034,A,14.0,blank,blank,CIMBRIA COURT,金碧閣,blank,blank,CONDUIT RD,干德道,24,blank,HMW,IL2137sARP,|CIMBRIA COURT金碧閣|Phase |Block ,干德道CIMBRIA COURT金碧閣|Phase|Block,干德道CIMBRIA COURT金碧閣|Phase|Block|14|A,西半山,1997,23,CIMBRIA COURT金碧閣,24 CONDUIT RD,24 干德道,24 CONDUIT RD|24 干德道,"金碧閣,干德道","CIMBRIA COURT,CONDUIT RD","CIMBRIA COURT,CONDUIT RD|金碧閣,干德道",CONDUIT RDblankCIMBRIA COURT金碧閣|Phaseblank|Blockblank|14|Aconsid5.0,14,很低,低層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
38692,20060201390120,ASP,2020-05-22,RES,blank,1986/12,5.1,359,252,14206,20238,blank,blank,5715994,20060201390120,B,7.0,blank,blank,RYAN MANS,樂欣大廈,blank,blank,MOSQUE ST,摩羅廟街,31,37,HMW,IL343sB,|RYAN MANS樂欣大廈|Phase |Block ,摩羅廟街RYAN MANS樂欣大廈|Phase|Block,摩羅廟街RYAN MANS樂欣大廈|Phase|Block|7|B,西半山,1986,34,RYAN MANS樂欣大廈,31-37 MOSQUE ST,31-37 摩羅廟街,31-37 MOSQUE ST|31-37 摩羅廟街,"樂欣大廈,摩羅廟街","RYAN MANS,MOSQUE ST","RYAN MANS,MOSQUE ST|樂欣大廈,摩羅廟街",MOSQUE STblankRYAN MANS樂欣大廈|Phaseblank|Blockblank|7|Bconsid5.1,7,低,低層,東,呂字型,基本,單位實用四正 交通方便 配套完善
38145,19082901890095,ASP,2019-08-08,RES,blank,1975/06,5.1,0,342,0,14912,blank,blank,5605878,19082901890095,B,3.0,blank,blank,PRINCE'S COURT,blank,blank,blank,PRINCE'S TERR,太子臺,10,blank,HMW,IL151sDss1,|PRINCE'S COURT|Phase |Block ,太子臺PRINCE'S COURT|Phase|Block,太子臺PRINCE'S COURT|Phase|Block|3|B,西半山,1975,45,PRINCE'S COURTblank,10 PRINCE'S TERR,10 太子臺,10 PRINCE'S TERR|10 太子臺,"blank,太子臺","PRINCE'S COURT,PRINCE'S TERR","PRINCE'S COURT,PRINCE'S TERR|blank,太子臺",PRINCE'S TERRblankPRINCE'S COURTblank|Phaseblank|Blockblank|3|Bconsid5.1,3,中,高層,西,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38122,19081400390219,ASP,2019-07-25,RES,blank,1960/06,5.2,0,398,0,13065,blank,blank,5598118,19081400390219,A4,6.0,A,blank,blank,blank,HING WAH MANS,興華樓,OAKLANDS PATH,屋蘭士里,2,blank,HMW,IL2182RP,HING WAH MANS||Phase |Block A,屋蘭士里HING WAH MANS|Phase|BlockA,屋蘭士里HING WAH MANS|Phase|BlockA|6|A4,西半山,1960,60,blankblank,2 OAKLANDS PATH,2 屋蘭士里,2 OAKLANDS PATH|2 屋蘭士里,"興華樓A座,屋蘭士里","HING WAH MANS(BLOCK A),OAKLANDS PATH","HING WAH MANS(Block A),OAKLANDS PATH|興華樓A座,屋蘭士里",OAKLANDS PATHHING WAH MANSblankblank|Phaseblank|BlockA|6|A4consid5.2,6,高,低層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38936,20082401000015,ASP,2020-08-11,RES,blank,1986/12,5.4,384,270,14062,20000,blank,blank,5760462,20082401000015,C,16.0,blank,blank,RYAN MANS,樂欣大廈,blank,blank,MOSQUE ST,摩羅廟街,31,37,HMW,IL343sB,|RYAN MANS樂欣大廈|Phase |Block ,摩羅廟街RYAN MANS樂欣大廈|Phase|Block,摩羅廟街RYAN MANS樂欣大廈|Phase|Block|16|C,西半山,1986,34,RYAN MANS樂欣大廈,31-37 MOSQUE ST,31-37 摩羅廟街,31-37 MOSQUE ST|31-37 摩羅廟街,"樂欣大廈,摩羅廟街","RYAN MANS,MOSQUE ST","RYAN MANS,MOSQUE ST|樂欣大廈,摩羅廟街",MOSQUE STblankRYAN MANS樂欣大廈|Phaseblank|Blockblank|16|Cconsid5.4,16,低,低層,西,沒資料,有,單位實用四正 交通方便 配套完善
38755,20061801810026,ASP,2020-06-04,RES,blank,2021/03,5.4086,0,181,0,29882,blank,blank,5725750,20061801810026,D,7.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|7|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|7|Dconsid5.4086,7,近乎零,中層,東南,四正,有,單位實用四正 交通方便 配套完善
38769,20062200850011,ASP,2020-06-04,RES,blank,2021/03,5.4454,0,181,0,30085,blank,blank,5727163,20062200850011,A,5.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|5|A,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|5|Aconsid5.4454,5,近乎零,高層,東,四正,良好,業主減價 上車筍盤 歡迎約睇
